ticker,volume,category
BSJO,77053,High Yield Bond
BSJP,48090,High Yield Bond
BSJQ,16216,High Yield Bond
BSJR,20648,High Yield Bond
BSJS,13525,High Yield Bond
BSJT,2516,High Yield Bond
BSJU,918,High Yield Bond
BSR,14000,Large Blend
BSV,1300947,Short-Term Bond
BSVO,157129,Small Value
BTEC,777,Health
BTEK,587,Technology
BTHM,7,Large Growth
BTR,14000,Large Blend
BUCK,4990,Intermediate Government
BUFF,33334,Large Blend
BUG,116795,Technology
BUL,2523,Mid-Cap Blend
BULD,70,Technology
BUZZ,5094,Large Growth
BWEB,11,Technology
BWX,790935,World Bond
BWZ,245708,World Bond
BYRE,41,Real Estate
BZQ,6555,Trading--Inverse Equity
CACG,3312,Large Growth
CAFG,634,Small Growth
CALF,237863,Small Value
CAMX,3,Large Value
CAOS,201,Large Blend
CAPE,7520,Large Blend
CARY,990,Multisector Bond
CARZ,2586,Consumer Cyclical
CATH,6465,Large Blend
CBLS,0,Long-Short Equity
CBON,1558,Emerging-Markets Local-Currency Bond
CBSE,645,Small Growth
CCRV,1370,Commodities Broad Basket
CCSO,1458,Large Blend
CDC,91393,Large Value
CDEI,100,Large Blend
CDL,12971,Large Value
CDX,47696,High Yield Bond
CEFA,8,Foreign Large Blend
CEFS,14282,Tactical Allocation
CEMB,15957,Emerging Markets Bond
CETF,1,Large Blend
CEW,132,Emerging-Markets Local-Currency Bond
CFA,3886,Large Blend
CFCV,6,Large Blend
CFO,83775,Large Blend
CGDV,734939,Large Value
CGGR,574054,Large Growth
CGMS,41599,Multisector Bond
CGMU,18876,Muni National Interm
CGSD,386378,Short-Term Bond
CGUS,153853,Large Blend
CGV,6156,Foreign Small/Mid Value
CGW,33440,Natural Resources
CGXU,335873,Foreign Large Growth
CHAT,224007,Technology
CHAU,42026,Trading--Leveraged Equity
CHB,514,China Region
CHGX,2834,Large Blend
CHIC,259,China Region
CHIE,232550,China Region
CHIH,12,China Region
CHII,217,China Region
CHIK,1710,China Region
CHIM,2361,China Region
CHIQ,50284,China Region
CHIR,506,China Region
CHIS,556,China Region
CHIU,555,China Region
CHIX,2789,China Region
CHNA,1,China Region
CIBR,919645,Technology
CID,99,Foreign Large Value
CIL,439,Foreign Large Blend
CIZ,4069,Foreign Large Blend
CLDL,119341,Trading--Leveraged Equity
CLIX,4032,Long-Short Equity
CLNR,49401,Industrials
CLOA,10615,Ultrashort Bond
CLOI,130414,Ultrashort Bond
CLOU,223434,Technology
CLOZ,868,Bank Loan
CLRG,8,Large Blend
CLSA,3774,Allocation--70% to 85% Equity
CLSC,4971,Tactical Allocation
CLSE,314,Long-Short Equity
CLSM,6507,Allocation--50% to 70% Equity
CLTL,88311,Ultrashort Bond
CMBS,58894,Intermediate-Term Bond
CMDT,38720,Commodities Broad Basket
CMDY,21963,Commodities Broad Basket
CMF,110354,Muni California Long
CN,616,China Region
CNBS,251489,Miscellaneous Sector
CNCR,1415,Health
CNRG,23319,Equity Energy
CNXT,1377,China Region
CNYA,95547,China Region
COM,71273,Commodities Broad Basket
COMB,41609,Commodities Broad Basket
COMT,135602,Commodities Broad Basket
CONL,82841,Trading--Leveraged Equity
COPJ,2440,Natural Resources
COPX,601270,Natural Resources
CORP,19168,Corporate Bond
COWG,22004,Large Blend
COWZ,1189557,Mid-Cap Value
CPI,6137,Inflation-Protected Bond
CPII,1,Inflation-Protected Bond
CQQQ,141115,China Region
CRAK,9175,Equity Energy
CRED,1,Real Estate
CRIT,1055,Equity Precious Metals
CRUZ,21704,Consumer Cyclical
CSA,503,Small Blend
CSB,15511,Small Value
CSD,31,Mid-Cap Blend
CSF,9074,Small Blend
CSHI,767,Ultrashort Bond
CSM,3877,Large Blend
CSML,1055,Small Value
CTA,74207,Managed Futures
CTEC,6953,Miscellaneous Sector
CTEX,120,Technology
CUBS,4181,Pacific/Asia ex-Japan Stk
