ticker,volume,category
FTLS,101761,Long-Short Equity
FTRI,86063,Natural Resources
FTSD,1369,Short Government
FTSL,213934,Bank Loan
FTSM,1590336,Ultrashort Bond
FTXG,115343,Consumer Defensive
FTXH,1435,Health
FTXL,86254,Technology
FTXN,62395,Equity Energy
FTXO,45140,Financial
FTXR,753,Industrials
FUMB,37442,Muni National Short
FUNL,406,Large Value
FUSI,200,Ultrashort Bond
FUTY,125589,Utilities
FV,903551,Mid-Cap Blend
FVAL,19497,Large Value
FVC,10170,Mid-Cap Blend
FVD,672879,Large Value
FXD,76047,Consumer Cyclical
FXED,5671,Allocation--15% to 30% Equity
FXG,46696,Consumer Defensive
FXH,33528,Health
FXI,24879704,China Region
FXL,21794,Technology
FXN,580479,Equity Energy
FXO,105966,Financial
FXP,10032,Trading--Inverse Equity
FXR,112888,Industrials
FXU,44350,Utilities
FXZ,125307,Natural Resources
FYC,5887,Small Growth
FYLD,52533,Foreign Small/Mid Value
FYLG,34,Financial
FYT,49552,Small Value
FYX,128171,Small Blend
GAA,3869,World Allocation
GABF,340,Financial
GAL,3953,Allocation--50% to 70% Equity
GAMR,1257,Technology
GAST,1,Technology
GBF,33128,Intermediate-Term Bond
GBIL,602231,Ultrashort Bond
GBLD,14,Global Real Estate
GBUY,1975,Consumer Cyclical
GCAD,42,Large Blend
GCC,11654,Commodities Broad Basket
GCLN,46,Equity Energy
GCOR,37532,Intermediate-Term Bond
GDE,1968,Large Blend
GDIV,42642,Large Blend
GDMA,5587,Allocation--50% to 70% Equity
GDOC,2387,Health
GDX,19641451,Equity Precious Metals
GDXJ,3433314,Equity Precious Metals
GEM,51273,Diversified Emerging Mkts
GEMD,4735,Emerging Markets Bond
GERM,1511,Health
GFGF,517,Large Blend
GGLL,52431,Trading--Leveraged Equity
GGLS,13281,Trading--Inverse Equity
GGRW,2,Technology
GHTA,40296,Allocation--50% to 70% Equity
GHYB,2057,High Yield Bond
GHYG,31203,High Yield Bond
GIGB,28693,Corporate Bond
GII,14035,Infrastructure
GINN,3954,Technology
GK,2871,Large Growth
GLCN,383,China Region
GLDB,887,Nontraditional Bond
GLIF,53,Infrastructure
GLIN,2086,India Equity
GLL,67887,Trading--Inverse Commodities
GLRY,1785,Small Growth
GMET,6545,Natural Resources
GMF,8408,Pacific/Asia ex-Japan Stk
GMOM,6920,Tactical Allocation
GMUN,100,Muni National Interm
GNMA,18211,Intermediate Government
GNOM,38084,Health
GNR,112458,Natural Resources
GOAU,45674,Equity Precious Metals
GOEX,16672,Equity Precious Metals
GOVT,5492054,Intermediate Government
GOVZ,47437,Long Government
GPAL,16,Large Blend
GQRE,21021,Global Real Estate
GREI,207,Miscellaneous Sector
GREK,40534,Miscellaneous Region
GRES,2079,Natural Resources
GRID,36023,Miscellaneous Sector
GRNB,49750,World Bond
GRNR,8,Global Real Estate
GRZZ,813,Large Growth
GSEE,16,Diversified Emerging Mkts
GSEU,790,Europe Stock
GSEW,16057,Large Blend
GSID,10420,Foreign Large Blend
GSIE,169659,Foreign Large Blend
GSIG,38,Short-Term Bond
GSJY,467,Japan Stock
GSLC,159760,Large Blend
GSPY,1624,Large Blend
GSSC,14843,Small Blend
GSST,19470,Ultrashort Bond
GSUS,17918,Large Blend
GSY,375921,Ultrashort Bond
GTEK,17217,Technology
GTIP,6301,Inflation-Protected Bond
GTR,5021,Allocation--15% to 30% Equity
GUNR,419071,Natural Resources
GURU,701,Large Growth
GUSA,1,Large Blend
GUSH,250002,Trading--Leveraged Equity
GVAL,1182,Foreign Small/Mid Value
GVI,78451,Short-Term Bond
GVIP,20593,Large Growth
GVLU,3050,Mid-Cap Value
GWX,90285,Foreign Small/Mid Blend
GXC,25698,China Region
GXG,8595,Miscellaneous Region
GYLD,357,World Allocation
HACK,58559,Technology
HAIL,2434,Technology
HAP,3513,Natural Resources
HAPI,301,Large Blend
HAPS,15,Small Blend
HAPY,510,Mid-Cap Growth
HARD,83,Commodities Broad Basket
HART,126,Health
HAUS,131,Real Estate
HAUZ,51662,Global Real Estate
HAWX,13546,Foreign Large Blend
HCOM,4132,Commodities Broad Basket
HCRB,3289,Intermediate-Term Bond
HDAW,689,Foreign Large Value
HDEF,104338,Foreign Large Value
HDGE,206411,Trading--Inverse Equity
HDMV,5074,Foreign Large Value
HDRO,25241,Equity Energy
HDUS,584,Large Blend
HDV,532565,Large Value
HEDJ,14206,Europe Stock
HEEM,9602,Diversified Emerging Mkts
HEET,0,Large Blend
HEFA,552563,Foreign Large Blend
HELX,736,Health
HEQT,32078,Large Blend
HERO,11518,Technology
HEWC,443,Miscellaneous Region
HEWG,7375,Miscellaneous Region
HEWJ,147192,Japan Stock
HEWU,59,Miscellaneous Region
HEZU,14599,Europe Stock
HFGO,25234,Large Growth
HFXI,67120,Foreign Large Blend
HGER,4519,Commodities Broad Basket
HIBL,109699,Trading--Leveraged Equity
HIBS,1859940,Trading--Inverse Equity
HIDE,11060,Allocation--50% to 70% Equity
HIDV,4,Large Value
HIGH,17528,Intermediate Government
HIPS,6804,Allocation--85%+ Equity
HISF,6515,Allocation--30% to 50% Equity
HIYS,10,High Yield Bond
HJEN,1070,Natural Resources
HKND,1654,Large Value
HLAL,14613,Large Blend
HLGE,2,Mid-Cap Blend
HMOP,19896,Muni National Interm
HNDL,65967,Allocation--30% to 50% Equity
HOM,224,Allocation--15% to 30% Equity
HOMZ,793,Mid-Cap Value
HOTL,136,Consumer Cyclical
HSCZ,32552,Foreign Small/Mid Blend
HSMV,1070,Small Blend
HSRT,21306,Short-Term Bond
HSUN,1,Multisector Bond
HTAB,15448,Intermediate-Term Bond
HTEC,4454,Health
HTUS,1971,Long-Short Equity
HUSV,6592,Large Blend
HVAL,1,Large Value
HYBB,6982,High Yield Bond
HYBL,2971,High Yield Bond
HYD,534168,High Yield Muni
HYDB,4460,High Yield Bond
HYDR,24349,Miscellaneous Sector
HYDW,2594,High Yield Bond
HYEM,49155,Emerging Markets Bond
HYFI,5611,High Yield Bond
HYG,26736329,High Yield Bond
HYGH,6416,High Yield Bond
HYGI,0,Inflation-Protected Bond
HYGV,58688,High Yield Bond
HYGW,10940,High Yield Bond
HYHG,2111,Nontraditional Bond
HYIN,324,Nontraditional Bond
HYLB,929114,High Yield Bond
HYLD,12589,High Yield Bond
HYLG,60,Health
HYLS,134540,High Yield Bond
HYMB,186641,High Yield Muni
HYMU,4404,High Yield Muni
HYRM,521,High Yield Bond
HYS,120392,High Yield Bond
HYTR,87,Multisector Bond
HYUP,57,High Yield Bond
HYXF,46314,High Yield Bond
HYXU,7056,High Yield Bond
HYZD,9002,Nontraditional Bond
IAI,1319410,Financial
IAK,19821,Financial
IAT,750150,Financial
IBB,1069950,Health
IBBQ,1792,Health
IBD,315718,Corporate Bond
IBET,1440,Consumer Cyclical
IBHC,30429,High Yield Bond
IBHD,155949,High Yield Bond
IBHE,35912,High Yield Bond
IBHF,8509,High Yield Bond
IBHG,4387,High Yield Bond
IBHH,2641,High Yield Bond
IBHI,1168,High Yield Bond
IBND,175448,World Bond
IBOT,147,Technology
IBRN,200,Health
IBUY,9816,Consumer Cyclical
ICAP,9552,Large Value
ICF,60030,Real Estate
ICLN,1911349,Miscellaneous Sector
ICLO,1,Ultrashort Bond
ICOW,46941,Foreign Large Value
ICSH,498658,Ultrashort Bond
ICVT,87553,Convertibles
IDAT,854,Technology
IDEV,377298,Foreign Large Blend
IDHQ,10936,Foreign Large Growth
IDLV,14104,Foreign Large Blend
IDMO,2030,Foreign Large Growth
IDNA,6399,Health
IDOG,21110,Foreign Large Value
IDRV,58116,Industrials
IDU,30961,Utilities
IDUB,1644,Long-Short Equity
IDV,533415,Foreign Large Value
IDVO,3289,Foreign Large Blend
IDX,4126,Miscellaneous Region
IEDI,378,Consumer Cyclical
IEF,15539836,Long Government
IEFA,7355845,Foreign Large Blend
IEI,931495,Intermediate Government
IEMG,7694261,Diversified Emerging Mkts
IEO,71958,Equity Energy
IETC,4885,Technology
IEUR,671035,Europe Stock
IEUS,3911,Europe Stock
IEV,173838,Europe Stock
IEZ,327924,Equity Energy
IFGL,33355,Global Real Estate
IFRA,82598,Infrastructure
IFV,180543,Foreign Large Blend
IG,19800,Corporate Bond
IGBH,1907,Ultrashort Bond
IGE,1391784,Natural Resources
IGEB,10397,Corporate Bond
IGF,376910,Infrastructure
IGHG,8391,Nontraditional Bond
IGIB,1365073,Corporate Bond
IGLB,371976,Long-Term Bond
IGM,11110,Technology
IGN,4507,Technology
IGOV,190129,World Bond
IGRO,19769,Foreign Large Blend
IGSB,7101793,Short-Term Bond
IGV,333138,Technology
IHAK,32744,Technology
IHDG,272344,Foreign Large Growth
IHE,2244,Health
IHF,20569,Health
IHI,478669,Health
IHY,56860,High Yield Bond
IHYF,719,High Yield Bond
IIGD,61556,Short-Term Bond
IJH,887494,Mid-Cap Blend
IJJ,1351035,Mid-Cap Value
IJK,1146544,Mid-Cap Growth
IJR,3606200,Small Blend
IJS,155036,Small Value
IJT,42844,Small Growth
ILCB,10230,Large Blend
ILCG,32267,Large Growth
ILCV,8093,Large Value
ILDR,4,Technology
ILF,820951,Latin America Stock
ILTB,29510,Long-Term Bond
IMCB,5689,Mid-Cap Blend
IMCG,94422,Mid-Cap Growth
IMCV,14068,Mid-Cap Value
IMFL,67145,Foreign Large Blend
IMOM,269671,Foreign Large Growth
IMSI,2,High Yield Muni
IMTM,125555,Foreign Large Growth
INC,21,High Yield Bond
INCO,3100,India Equity
INDA,1637536,India Equity
INDF,678,India Equity
INDL,7958,Trading--Leveraged Equity
INDS,85097,Real Estate
INDY,12267,India Equity
INFR,1,Infrastructure
INKM,2416,Allocation--50% to 70% Equity
INMU,609,Muni National Interm
INNO,1012,Mid-Cap Growth
INQQ,1346,India Equity
INTF,72723,Foreign Large Blend
INTL,16833,Foreign Large Blend
ION,752,Natural Resources
IPAC,88283,Diversified Pacific/Asia
IPAY,25698,Miscellaneous Sector
IPKW,2777,Foreign Large Blend
IPO,36847,Mid-Cap Growth
IPOS,3782,Foreign Small/Mid Growth
IPPP,564,Preferred Stock
IQDE,492,Foreign Large Value
IQDF,48715,Foreign Large Value
IQDG,44016,Foreign Large Growth
IQDY,13497,Foreign Large Value
IQHI,100,High Yield Bond
IQIN,3590,Foreign Large Value
IQLT,9078426,Foreign Large Blend
IQM,1128,Technology
IQSI,4429,Foreign Large Blend
IQSM,3,Mid-Cap Blend
IQSU,1199,Large Blend
IRBA,180,World Allocation
IRBO,253199,Technology
IRVH,1310,Inflation-Protected Bond
ISCB,1438,Small Blend
ISCF,26676,Foreign Small/Mid Blend
ISCG,65117,Small Growth
ISCV,6542,Small Value
ISDB,3,Short-Term Bond
ISHG,1852,World Bond
ISHP,19,Consumer Cyclical
ISMD,19302,Small Blend
ISRA,277,Miscellaneous Region
ISTB,407866,Short-Term Bond
ISVL,21,Foreign Small/Mid Value
ISZE,1424,Foreign Large Blend
ITA,345228,Industrials
ITAN,195,Large Blend
ITB,1613818,Consumer Cyclical
ITEQ,5532,Technology
ITM,172122,Muni National Long
ITOT,610624,Large Blend
IUS,15085,Large Value
IUSG,299912,Large Growth
IUSV,865774,Large Value
IVAL,145913,Foreign Large Value
IVE,305961,Large Value
IVEG,433,Miscellaneous Sector
IVES,6559,Technology
IVLU,79414,Foreign Large Value
IVOG,3673,Mid-Cap Growth
IVOL,107093,Inflation-Protected Bond
IVOO,34755,Mid-Cap Blend
IVOV,37705,Mid-Cap Value
IVRA,13,Real Estate
IVRS,987,Technology
IVV,2104089,Large Blend
IVW,891341,Large Growth
IWB,246419,Large Blend
IWC,18894,Small Blend
IWD,877858,Large Value
IWF,1633096,Large Growth
IWFH,5,Communications
IWIN,1141,Small Blend
IWL,66050,Large Blend
IWM,20218949,Small Blend
IWN,1117317,Small Value
IWO,219233,Small Growth
IWP,433372,Mid-Cap Growth
IWR,539259,Mid-Cap Blend
IWS,378953,Mid-Cap Value
IWTR,77,Natural Resources
IWV,51903,Large Blend
IWX,39439,Large Value
IWY,220256,Large Growth
IXC,712249,Equity Energy
IXG,8021,Financial
IXJ,117262,Health
IXN,117885,Technology
IXP,15269,Communications
IXSE,7,India Equity
IXUS,1107985,Foreign Large Blend
IYC,42405,Consumer Cyclical
IYE,345099,Equity Energy
IYF,60003,Financial
IYG,46726,Financial
IYH,17067,Health
IYJ,1190379,Industrials
IYK,48748,Consumer Defensive
IYLD,8633,World Allocation
IYM,80913,Natural Resources
IYR,3565682,Real Estate
IYT,296587,Industrials
IYW,445441,Technology
IYY,21762,Large Blend
IYZ,319948,Communications
IZRL,3000,Technology
JAAA,147856,Ultrashort Bond
JAVA,41090,Large Value
JBBB,1674,Bank Loan
JCHI,112,China Region
JCPI,10262,Inflation-Protected Bond
JCTR,107,Large Blend
JDST,7513730,Trading--Inverse Equity
JEMA,307047,Diversified Emerging Mkts
JETS,1053655,Miscellaneous Sector
JFWD,11372,Technology
JGRO,350144,Large Growth
JHCB,157,Corporate Bond
JHDV,45,Large Value
JHEM,7967,Diversified Emerging Mkts
JHID,2,Foreign Large Value
JHMB,12225,Intermediate-Term Bond
JHMD,19875,Foreign Large Blend
JHML,100273,Large Blend
JHMM,209650,Mid-Cap Blend
JHPI,1769,Preferred Stock
JHSC,18298,Small Blend
JIB,0,Intermediate-Term Bond
JIDA,667,Foreign Large Blend
JIG,4170,Foreign Large Growth
JIRE,171286,Foreign Large Blend
JMBS,56911,Intermediate Government
JMEE,10009,Small Blend
JMOM,13252,Large Growth
JMST,157276,Muni National Short
JMUB,36725,Muni National Interm
JNK,5062477,High Yield Bond
JNUG,897486,Trading--Leveraged Equity
JOET,7097,Large Growth
JOJO,3100,High Yield Bond
JPEM,14878,Diversified Emerging Mkts
JPIB,26256,Multisector Bond
JPIE,33633,Multisector Bond
JPIN,50576,Foreign Large Value
JPMB,44522,Emerging Markets Bond
JPME,6726,Mid-Cap Blend
JPRE,3287,Real Estate
JPSE,23529,Small Blend
JPST,2639680,Ultrashort Bond
JPSV,101,Small Value
JPUS,5115,Large Value
JPXN,24331,Japan Stock
JQUA,62511,Large Blend
JRE,673,Real Estate
JRNY,1,Consumer Cyclical
JSCP,15140,Short-Term Bond
JSMD,57374,Mid-Cap Growth
JSML,9965,Small Growth
JUCY,72171,Intermediate-Term Bond
JUSA,4,Large Blend
JUST,1227,Large Blend
JVAL,10368,Large Value
JXI,3805,Utilities
JZRO,3,Natural Resources
KALL,1099,China Region
KARS,6780,Industrials
KBA,62779,China Region
KBE,3207624,Financial
KBND,850,Emerging-Markets Local-Currency Bond
KBUY,126,China Region
KBWB,540132,Financial
KBWD,59766,Financial
KBWP,4857,Financial
KBWR,2735,Financial
KBWY,48258,Real Estate
KCAL,43,Consumer Defensive
KCE,2652,Financial
KDIV,100,Diversified Pacific/Asia
KDRN,0,Nontraditional Bond
KEJI,28,China Region
KEMQ,204,Diversified Emerging Mkts
KEMX,686,Diversified Emerging Mkts
KESG,1,China Region
KFVG,1102,China Region
KFYP,3,China Region
KGRN,5193,China Region
KGRO,4,China Region
KHYB,9834,Emerging Markets Bond
KIE,451324,Financial
KLIP,29162,China Region
KLNE,1993,Trading--Leveraged Equity
KMED,121,Diversified Emerging Mkts
KMLM,32935,Managed Futures
KNG,79075,Large Value
KOIN,684,Technology
KOLD,1430867,Trading--Inverse Commodities
KOMP,35732,Mid-Cap Growth
KONG,17,Mid-Cap Blend
KORP,7129,Corporate Bond
KORU,76071,Trading--Leveraged Equity
KPOP,26,Miscellaneous Region
KRE,13977518,Financial
KRMA,1496,Large Blend
KRUZ,1940,Large Blend
KSA,415254,Miscellaneous Region
KSTR,2052,China Region
KTEC,2850,China Region
KURE,19842,China Region
KVLE,142,Large Value
KWEB,23204449,China Region
KWT,1216,Miscellaneous Region
KXI,55123,Consumer Defensive
LABD,4428505,Trading--Inverse Equity
LABU,24184883,Trading--Leveraged Equity
LALT,100,World Allocation
LBAY,13500,Long-Short Equity
LCF,1,Large Blend
LCG,5102,Large Growth
LCLG,1,Large Growth
LCR,3083,Tactical Allocation
LCTD,424,Foreign Large Blend
LCTU,13471,Large Blend
LDEM,352,Diversified Emerging Mkts
LDSF,8695,Short-Term Bond
LDUR,37319,Short-Term Bond
LEAD,277,Large Blend
LEMB,25644,Emerging-Markets Local-Currency Bond
LETB,2432,Large Growth
LEXI,8775,Tactical Allocation
LFEQ,7986,Large Blend
LGH,20899,Large Blend
LGLV,35754,Large Blend
LGOV,42083,Long Government
LIT,215367,Natural Resources
LITP,3640,Natural Resources
LJIM,437,Long-Short Equity
LKOR,44,Corporate Bond
LMBS,536650,Short-Term Bond
LONZ,7244,Bank Loan
LOPP,67,Mid-Cap Blend
LOUP,1346,Technology
LOWV,2693,Large Blend
LQD,16040850,Corporate Bond
LQDB,2,Corporate Bond
LQDH,8859,Ultrashort Bond
LQDI,7006,Corporate Bond
LQDW,18287,Short-Term Bond
LQIG,3,Corporate Bond
LRGE,1480,Large Growth
LRGF,91625,Large Blend
LRND,75,Large Blend
LRNZ,13652,Technology
LSAF,5297,Mid-Cap Blend
LSAT,7056,Mid-Cap Value
LSST,831,Short-Term Bond
LTL,1,Trading--Leveraged Equity
LTPZ,97780,Inflation-Protected Bond
LUX,6047,Consumer Cyclical
LVHD,120919,Large Value
LVHI,99758,Foreign Large Value
LVOL,692,Large Blend
LYFE,83,Large Blend
LZRD,109,Large Blend
MAAX,12,High Yield Muni
MAGA,191,Large Value
MAKX,287,Technology
MBB,3959889,Intermediate Government
MBBB,76,Corporate Bond
MBCC,694,Large Growth
MBND,5641,Muni National Interm
MBNE,720,Muni National Interm
MBOX,3071,Large Value
MBSD,8480,Intermediate Government
MCH,978,China Region
MCHI,3466484,China Region
MCSE,1052,Foreign Large Growth
MDCP,127,Mid-Cap Blend
MDEV,1002,Health
MDIV,59054,Allocation--85%+ Equity
MDLV,2562,Large Value
MDY,681927,Mid-Cap Blend
MDYG,60205,Mid-Cap Growth
MDYV,76615,Mid-Cap Value
MEAR,33818,Muni National Short
MEDI,51,Health
MEDX,124,Health
MEM,846,Diversified Emerging Mkts
MEME,45,Mid-Cap Growth
MEMX,369,Diversified Emerging Mkts
METV,204683,Technology
MEXX,497,Trading--Leveraged Equity
MFDX,17058,Foreign Large Blend
MFEM,19355,Diversified Emerging Mkts
MFLX,804,Muni National Long
MFUL,5343,Allocation--50% to 70% Equity
MFUS,1237,Large Value
MGC,35423,Large Blend
MGK,358866,Large Growth
MGMT,582,Small Blend
MGV,213009,Large Value
MID,5733,Mid-Cap Growth
MIDE,62,Mid-Cap Blend
MIDU,13585,Trading--Leveraged Equity
MIG,785,Corporate Bond
MILN,3515,Large Growth
MINC,432,Short-Term Bond
MINN,62,Muni Minnesota
MINO,498,Muni National Interm
MINT,1063988,Ultrashort Bond
MINV,2202,Diversified Pacific/Asia
MISL,674,Industrials
MJ,875881,Miscellaneous Sector
MJUS,1214,Miscellaneous Sector
MKAM,2709,Allocation--85%+ Equity
MLN,284504,Muni National Long
MLPA,100452,Energy Limited Partnership
MLPX,32472,Energy Limited Partnership
MMCA,3,Muni California Intermediate
MMIN,23265,Muni National Long
MMIT,110843,Muni National Interm
MMLG,2790,Large Growth
MMSB,0,Multisector Bond
MMSC,6069,Small Growth
MMTM,3623,Large Growth
MNBD,5,Muni National Interm
MOAT,442949,Large Blend
MODL,321,Large Blend
MOHR,4489,Large Growth
MOO,45065,Natural Resources
MOOD,1095,Tactical Allocation
MOON,17329,Technology
MORE,23,Allocation--50% to 70% Equity
MORT,54899,Real Estate
MOTE,32,Large Blend
MOTI,12899,Foreign Large Value
MPAY,35,Allocation--50% to 70% Equity
MPRO,1634,Allocation--50% to 70% Equity
MRAD,51,Communications
MRND,1,Mid-Cap Blend
MSFD,34581,Trading--Inverse Equity
MSFU,67523,Trading--Leveraged Equity
MSMR,1818,Allocation--50% to 70% Equity
MSOS,704609,Miscellaneous Sector
MSOX,16033,Trading--Leveraged Equity
MSVX,10460,Long-Short Equity
MTUM,295686,Large Growth
MTVR,71,Technology
MUB,1968764,Muni National Interm
MUNI,50781,Muni National Interm
MUSI,2311,Multisector Bond
MUST,57402,Muni National Interm
MVPS,51,Technology
MVV,1746,Trading--Leveraged Equity
MXI,5403,Natural Resources
MYY,7794,Trading--Inverse Equity
MZZ,1211,Trading--Inverse Equity
NACP,840,Large Blend
NAIL,157381,Trading--Leveraged Equity
NANC,2614,Large Blend
NANR,7066,Natural Resources
NBCC,146,Consumer Cyclical
NBCM,8983,Commodities Broad Basket
NBCT,1,Mid-Cap Blend
NBDS,1107,Technology
NDIV,2424,Natural Resources
NDVG,196,Large Blend
NEAR,574469,Ultrashort Bond
NERD,1686,Consumer Cyclical
NETL,5040,Real Estate
NETZ,1871,Large Blend
NFLT,15550,Multisector Bond
NFRA,90179,Infrastructure
NFTY,10367,India Equity
NGE,16046,Miscellaneous Region
NIKL,570,Natural Resources
NIWM,560,Small Blend
NKEL,2455,Trading--Leveraged Equity
NKEQ,965,Trading--Inverse Equity
NLR,2539,Miscellaneous Sector
NOBL,241064,Large Value
NOPE,47471,Large Blend
NORW,16034,Miscellaneous Region
NSCS,100,Small Blend
NSPL,4661,Trading--Leveraged Equity
NSPY,2246,Large Blend
NTSE,1876,Diversified Emerging Mkts
NTSI,14208,World Allocation
NTSX,50333,Large Blend
NUAG,2315,Intermediate-Term Bond
NUBD,23944,Intermediate-Term Bond
NUDM,54789,Foreign Large Blend
NUDV,103,Large Value
NUEM,11227,Diversified Emerging Mkts
NUGO,2391,Large Growth
NUGT,2928296,Trading--Leveraged Equity
NUHY,69121,High Yield Bond
NULC,318,Large Blend
NULG,41648,Large Growth
NULV,200227,Large Value
NUMG,26480,Mid-Cap Growth
NUMV,19762,Mid-Cap Value
NURE,4736,Real Estate
NUSA,366450,Short-Term Bond
NUSC,59885,Small Blend
NVDL,230430,Trading--Leveraged Equity
NVDS,8243347,Trading--Inverse Equity
NVDY,37946,Large Blend
NVIR,6,Equity Energy
NVQ,3543,Mid-Cap Value
NWLG,5,Large Growth
NXTG,13253,Technology
NYF,7793,Muni New York Intermediate
NZRO,1,Large Growth
NZUS,53,Large Growth
OAEM,1551,Diversified Emerging Mkts
OAIM,3659,Foreign Large Blend
OALC,1218,Large Blend
OARK,49900,Large Blend
OBIL,75780,Short Government
OBND,115,Nontraditional Bond
OBOR,809,Infrastructure
OCEN,2,Miscellaneous Sector
OCIO,45,Allocation--50% to 70% Equity
ODDS,627,Technology
OEF,164983,Large Blend
OEUR,21052,Europe Stock
OGIG,14044,Technology
OIH,452308,Equity Energy
OMFL,358114,Large Blend
OMFS,28632,Small Blend
OND,400,Consumer Cyclical
ONEO,134,Mid-Cap Blend
ONEQ,248408,Large Growth
ONEV,6439,Mid-Cap Value
ONEY,19414,Mid-Cap Value
ONLN,7524,Consumer Cyclical
ONOF,349,Large Blend
OOTO,11414,Trading--Leveraged Equity
OPER,5460,Ultrashort Bond
OPPX,2614,Large Growth
ORFN,555,Large Blend
OSCV,15601,Small Blend
OSEA,200,Foreign Large Growth
OUSA,25865,Large Value
OUSM,88908,Small Blend
OVB,957,Intermediate-Term Bond
OVF,1899,Foreign Large Blend
OVL,7307,Large Blend
OVLH,4600,Large Blend
OVM,87,Muni National Interm
OVS,396,Small Blend
OVT,175,Short-Term Bond
OWNS,4480,Intermediate Government
PAB,120,Intermediate-Term Bond
PABU,102,Large Growth
PAK,10148,Miscellaneous Region
PALC,238526,Large Blend
PAMC,59387,Mid-Cap Blend
PAVE,525968,Infrastructure
PAWZ,3659,Miscellaneous Sector
PBD,21976,Miscellaneous Sector
PBDC,5048,Financial
PBDM,3636,Foreign Large Blend
PBE,5635,Health
PBEE,2452,Diversified Emerging Mkts
PBJ,6851,Consumer Defensive
PBND,30418,Intermediate-Term Bond
PBS,1368,Consumer Cyclical
PBSM,893,Small Blend
PBTP,8860,Inflation-Protected Bond
PBUS,96092,Large Blend
PBW,122236,Miscellaneous Sector
PCEF,107124,World Allocation
PCRB,5378,Intermediate-Term Bond
PCY,882560,Emerging Markets Bond
PDBC,1684651,Commodities Broad Basket
PDN,13966,Foreign Small/Mid Value
PDP,21504,Large Growth
PEJ,47589,Consumer Cyclical
PEMX,3000,Diversified Emerging Mkts
PEX,4,Miscellaneous Sector
PEXL,1327,Mid-Cap Growth
PEY,409869,Mid-Cap Value
PEZ,1116,Consumer Cyclical
PFEL,3481,Trading--Leveraged Equity
PFES,3,Trading--Inverse Equity
PFF,2188909,Preferred Stock
PFFA,108950,Preferred Stock
PFFD,397375,Preferred Stock
PFFR,16232,Preferred Stock
PFFV,31719,Preferred Stock
PFI,719,Financial
PFIG,32502,Corporate Bond
PFIX,108447,Inflation-Protected Bond
PFLD,24074,Preferred Stock
PFM,24973,Large Value
PFRL,442,Bank Loan
PFUT,21890,Mid-Cap Growth
PFXF,198330,Preferred Stock
PGAL,52503,Miscellaneous Region
PGF,148031,Preferred Stock
PGHY,12356,High Yield Bond
PGJ,54914,China Region
PGRO,1882,Large Growth
PGX,5083340,Preferred Stock
PHB,48533,High Yield Bond
PHDG,37953,Long-Short Equity
PHO,41441,Natural Resources
PHYD,1847,High Yield Bond
PHYL,8515,High Yield Bond
PICB,87561,World Bond
PICK,95160,Equity Precious Metals
PID,115379,Foreign Large Value
PIE,13230,Diversified Emerging Mkts
PIFI,1036,Intermediate-Term Bond
PILL,25030,Trading--Leveraged Equity
PIN,42339,India Equity
PINK,11738,Health
PIO,5610,Natural Resources
PIT,958,Commodities Broad Basket
PIZ,10480,Foreign Large Growth
PJFG,651,Large Growth
PJFV,0,Large Value
PJP,20866,Health
PKB,7830,Industrials
PKW,42774,Large Value
PLAT,603,Large Growth
PLDR,36629,Large Growth
PLRG,0,Large Blend
PLTL,23,Small Blend
PLW,30330,Long Government
PNQI,10065,Technology
POTX,9159,Miscellaneous Sector
PP,29095,Technology
PPA,288708,Industrials
PPEM,4698,Diversified Emerging Mkts
PPH,71931,Health
PPI,5889,World Allocation
PPIE,16514,Foreign Large Blend
PPTY,1963,Real Estate
PQDI,571,Preferred Stock
PRAY,302,Large Blend
PREF,81331,Preferred Stock
PRF,29306,Large Value
PRFD,6036,Preferred Stock
PRFZ,19367,Small Blend
PRN,4480,Industrials
PRNT,9367,Technology
PSC,3543,Small Blend
PSCC,17121,Consumer Defensive
PSCD,99,Consumer Cyclical
PSCE,42384,Equity Energy
PSCF,1069,Financial
PSCH,3532,Health
PSCI,544,Industrials
PSCM,905,Natural Resources
PSCT,5399,Technology
PSCU,627,Utilities
PSDN,4604,Miscellaneous Sector
PSET,817,Large Blend
PSI,11676,Technology
PSIL,8139,Miscellaneous Sector
PSJ,9237,Technology
PSK,139991,Preferred Stock
PSL,3646,Consumer Defensive
PSMB,3409,Allocation--50% to 70% Equity
PSMC,51292,Allocation--15% to 30% Equity
PSMG,7852,Allocation--70% to 85% Equity
PSMM,27006,Allocation--30% to 50% Equity
PSQ,35687736,Trading--Inverse Equity
PSR,4054,Real Estate
PST,25936,Trading--Inverse Debt
PTBD,72847,Corporate Bond
PTEC,1,Miscellaneous Sector
PTEU,477,Europe Stock
PTF,5575,Technology
PTH,1110,Health
PTIN,9557,Foreign Large Blend
PTLC,136915,Large Blend
PTMC,14228,Mid-Cap Blend
PTNQ,68189,Large Growth
PUI,3213,Utilities
PULS,547157,Ultrashort Bond
PULT,2784,Ultrashort Bond
PUNK,1048,Technology
PVAL,11001,Large Value
PVI,4635,Muni National Short
PWB,7802,Large Growth
PWC,3037,Mid-Cap Blend
PWS,272,Tactical Allocation
PWV,48168,Large Value
PWZ,62708,Muni California Long
PXE,31993,Equity Energy
PXF,65376,Foreign Large Value
PXH,135872,Diversified Emerging Mkts
PXI,3623,Equity Energy
PXJ,197405,Equity Energy
PXQ,25,Technology
